STT,Symbol,ICB Code,Ngành (VI),Ngành (EN),Tên công ty,Sàn,Hủy niêm yết
1,PVC,0500,"Dầu khí","Oil & Gas","Cổ phiếu Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP (PVChem)",HASTC,
2,PVE,0500,"Dầu khí","Oil & Gas","Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP",UPCOM,
3,PVB,0500,"Dầu khí","Oil & Gas","Cổ phiếu CTCP Bọc ống dầu khí Việt Nam",HASTC,
4,POS,0500,"Dầu khí","Oil & Gas","CTCP dich vu lap dat, van hanh va bao duong cong trinh dau khi bien PTSC",UPCOM,
5,TOS,0500,"Dầu khí","Oil & Gas","CTCP Dich vu bien Tan Cang",UPCOM,
6,PVS,0500,"Dầu khí","Oil & Gas","Cổ phiếu Tổng CTCP Dịch Vụ Kỹ Thuật Dầu Khí Việt Nam",HASTC,
7,BSR,0500,"Dầu khí","Oil & Gas","Công ty Cổ phần Lọc hóa dầu Bình Sơn",HOSE,
8,PVD,0500,"Dầu khí","Oil & Gas","Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí",HOSE,
9,PEQ,0500,"Dầu khí","Oil & Gas","CTCP Thiet bi Xang dau Petrolimex",UPCOM,
10,PLX,0500,"Dầu khí","Oil & Gas","Tập đoàn Xăng dầu Việt Nam",HOSE,
11,OIL,0500,"Dầu khí","Oil & Gas","Tổng Công ty Dầu Việt Nam - Công ty cổ phần",UPCOM,
12,PTV,0500,"Dầu khí","Oil & Gas","Công ty cổ phần Thương mại Dầu khí",UPCOM,
13,SPC,1300,"Hóa chất","Chemicals","SPC - CTCP Bảo vệ Thực vật Sài Gòn",HASTC,
14,VTZ,1300,"Hóa chất","Chemicals","CTCP San xuat va Thuong mai Nhua Viet Thanh",HASTC,
15,PCE,1300,"Hóa chất","Chemicals","CTCP Phan bon va Hoa chat Dau khi Mien Trung",HASTC,
16,NHH,1300,"Hóa chất","Chemicals","Công ty Cổ phần Nhựa Hà Nội",HOSE,
17,DPM,1300,"Hóa chất","Chemicals","Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần",HOSE,
18,BT1,1300,"Hóa chất","Chemicals","Công ty CP Bảo vệ Thực vật 1 Trung ương",UPCOM,
19,PAT,1300,"Hóa chất","Chemicals","CTCP Photpho Apatit Việt Nam",UPCOM,
20,RBC,1300,"Hóa chất","Chemicals","CTCP Công nghiệp và Xuất nhập khẩu Cao Su",UPCOM,
21,DRI,1300,"Hóa chất","Chemicals","CTCP Dau tu Cao su Dak Lak",UPCOM,
22,DOC,1300,"Hóa chất","Chemicals","CTCP Vat tu nong nghiep Dong Nai",UPCOM,
23,LNC,1300,"Hóa chất","Chemicals","CTCP Le Ninh",UPCOM,
24,PMB,1300,"Hóa chất","Chemicals","CTCP Phan bon va Hoa chat Dau khi Mien Bac",HASTC,
25,DGC,1300,"Hóa chất","Chemicals","Công ty Cổ phần Tập đoàn Hóa chất Đức Giang",HOSE,
26,HMD,1300,"Hóa chất","Chemicals","CTCP Hóa chất Minh Đức",UPCOM,
27,AVG,1300,"Hóa chất","Chemicals","Công ty cổ phần Phân bón Quốc tế Âu Việt",UPCOM,
28,BRR,1300,"Hóa chất","Chemicals","CTCP Cao su Ba Ria",UPCOM,
29,RDP,1300,"Hóa chất","Chemicals","Co phieu cong ty co phan Rang Dong Holding",UPCOM,
30,RTB,1300,"Hóa chất","Chemicals","CTCP Cao Su Tan Bien",UPCOM,
31,NSG,1300,"Hóa chất","Chemicals","CTCP Nhua Sai Gon",UPCOM,
32,DAG,1300,"Hóa chất","Chemicals","CTCP Tập đoàn Nhựa Đông Á",UPCOM,
33,SEP,1300,"Hóa chất","Chemicals","CTCP TCT Thuong mai Quang tri",UPCOM,
34,ECO,1300,"Hóa chất","Chemicals","Công ty cổ phần Nhựa sinh thái Việt Nam",UPCOM,
35,GER,1300,"Hóa chất","Chemicals","Cổ phiếu CTCP Thể Thao Ngôi sao Geru",UPCOM,
36,NFC,1300,"Hóa chất","Chemicals","NFC-CTCP Phân lân Ninh Bình",HASTC,
37,BFC,1300,"Hóa chất","Chemicals","Công ty Cổ phần Phân bón Bình Điền",HOSE,
38,SFG,1300,"Hóa chất","Chemicals","Công ty Cổ phần Phân bón Miền Nam",HOSE,
39,TSC,1300,"Hóa chất","Chemicals","Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ",HOSE,
40,HAI,1300,"Hóa chất","Chemicals","",,Y
41,VKP,1300,"Hóa chất","Chemicals","CTCP Nhựa Tân Hóa",UPCOM,
42,VNY,1300,"Hóa chất","Chemicals","CTCP Thuốc thú y TƯ I",UPCOM,
43,VTQ,1300,"Hóa chất","Chemicals","Công ty cổ phần Việt Trung Quảng Bình",UPCOM,
44,HVT,1300,"Hóa chất","Chemicals","Cổ phiếu Công ty Cổ phần Hóa chất Việt Trì",HASTC,
45,LAS,1300,"Hóa chất","Chemicals","Cổ phiếu Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao",HASTC,
46,PSE,1300,"Hóa chất","Chemicals","CTCP Phân bón và Hóa chất Dầu khí Đông Nam Bộ",HASTC,
